product_name,revenue,share_in_revenue
pork,1353600,6.24
OTHER,1225387,5.64
chicken,1171140,5.4
olive oil,1163250,5.37
beef,977170,4.51
lamb,709930,3.27
coffee beans,632853,2.92
sugar,587250,2.71
instant coffee,540600,2.49
sausages,530550,2.45
energy drink,439460,2.03
apple juice,422280,1.95
lingonberry mors,416100,1.92
caviar,394400,1.82
bananas,390500,1.8
pasta,379554,1.75
ground coffee,371296,1.71
grapes,364736,1.68
decaf coffee,356000,1.64
pineapple,348800,1.61
veal,335912,1.55
lemonade,318150,1.47
orange juice,299520,1.38
cranberry mors,296450,1.37
blueberry mors,293930,1.36
still water,277120,1.28
tangerines,270270,1.25
sunflower oil,266175,1.23
apples,262875,1.21
milk,226920,1.05
black tea bags,217784,1.0
chips,216860,1.0
pineapple juice,206280,0.95
oranges,202160,0.93
cream,199800,0.92
white bread,194350,0.9
black tea loose leaf,179676,0.83
dark chocolate,178500,0.82
sour cream,176350,0.81
jam,174800,0.81
honey,171000,0.79
buckwheat,170046,0.78
flour,169650,0.78
wafers,168300,0.78
oatmeal,168190,0.78
smoked fish,167115,0.77
kvas,164464,0.76
herbal tea loose leaf,161535,0.75
watermelon,159960,0.74
salted fish,159300,0.73
cookies,158792,0.73
bread,157280,0.73
white chocolate,157260,0.73
mayonnaise,156480,0.72
multifruit juice,153120,0.71
green tea bags,152850,0.71
pears,144804,0.67
sparkling water,142160,0.66
green tea loose leaf,139776,0.64
condensed milk,136929,0.63
sprats,136500,0.63
ketchup,129688,0.6
muffins,121800,0.56
rice,118930,0.55
herbal tea bags,112580,0.52
kombucha,112448,0.52
sesame oil,109750,0.51
chewing gum,109650,0.51
